subject_no,Trial_Index_,block,text,block_sequence,block_name,label,image
1,1,1, a container that designed for the traveller and uesd for packing the cloths,1,prac,suitcase,suitcase_23023.png
1,2,1,animal with short tail but very long norse and ear,1,prac,elephant,elephant_97230.png
1,3,1,transportation used on the water road ,1,prac,boat,boat_442822.png
1,4,1,located on the roadside and designed for saving the fire ,1,prac,fire hydrant,fire hydrant_293071.png
1,5,1,red fruit. sweet and crispy,1,prac,apple,apple_562059.png
1,6,1,big container for travel to pack cloths,1,prac,suitcase,suitcase_350019.png
1,7,1,a cute fluffy toy ,1,prac,teddy bear,teddy bear_82180.png
1,8,1,white and black animal,1,prac,zebra,zebra_449406.png
1,9,1,"big siz, strong muscle, fast speed",1,prac,horse,horse_439715.png
1,10,1,"white, long face, strong muscle",1,prac,horse,horse_382088.png
1,11,1,designed for cuting paper,1,prac,scissors,scissors_324715.png
1,12,1,designed for baking ,1,prac,oven,oven_446005.png
1,13,1,hang on the wall and holding to dry hair,1,prac,hair drier,hair drier_239041.png
1,14,1,transportation on the air road,1,prac,airplane,airplane_167540.png
1,15,1,black bag used for packing stuff,1,prac,backpack,backpack_370478.png
1,16,1,fluffy toy,1,prac,teddy bear,teddy bear_205542.png
1,17,1,cotainer for liquid,1,prac,bottle,bottle_385029.png
1,18,1,a big compomemt of living room and used for rest,1,prac,couch,couch_31735.png
1,19,1,holding to hit the tennis,1,prac,tennis racket,tennis racket_394559.png
1,20,1,yellow fruit,1,prac,banana,banana_279769.png
1,21,1,big surface ,1,prac,surfboard,surfboard_554595.png
1,22,1,a bread with sausage inside ,1,prac,hot dog,hot dog_400082.png
1,23,1,easily handled eletric device ,1,prac,laptop,laptop_482970.png
1,24,1,"black and big surface, like huge mushroom",1,prac,umbrella,umbrella_455157.png
1,25,1,green plant,1,prac,potted plant,potted plant_407614.png
1,26,1,a flat surface with 4 small wheels,1,prac,skateboard,skateboard_71877.png
1,27,1,transportation ,1,prac,train,train_539143.png
1,28,1,soft place to have a leep,1,prac,bed,bed_491757.png
1,29,1,a white man in white shirt and balck hat,1,prac,person,person_278705.png
1,30,1,being bited,1,prac,apple,apple_216277.png
1,31,1,reheat the food,1,prac,microwave,microwave_91615.png
1,32,1,ywllow.holdiing to pack stuff,1,prac,handbag,handbag_383842.png
1,33,1,public transportation,1,prac,bus,bus_226154.png
1,34,1,two long and thin ,1,prac,skis,skis_342397.png
1,35,1,next to the kitchen and holding the food,1,prac,dining table,dining table_385029.png
1,36,1,rainbow color and wear on a man's head,1,prac,umbrella,umbrella_180487.png
1,37,1,brown and hanging on a women's shoulder,1,prac,handbag,handbag_250127.png
1,38,1,white and brown ,1,prac,cow,cow_361268.png
1,39,1,white standing for freezing ,1,prac,refrigerator,refrigerator_536947.png
1,40,1,container for wine,1,prac,wine glass,wine glass_25394.png
2,1,1,plant in a pot,1,prac,potted plant,potted plant_407614.png
2,2,1,table for eating food,1,prac,dining table,dining table_385029.png
2,3,1,like a sofa,1,prac,couch,couch_31735.png
2,4,1,a animal with big ears and long nose,1,prac,elephant,elephant_97230.png
2,5,1,a animal english would  like to ride on them in the street,1,prac,horse,horse_439715.png
2,6,1,a machine for drying hair,1,prac,hair drier,hair drier_239041.png
2,7,1,a notebook like compiter,1,prac,laptop,laptop_482970.png
2,8,1,a round shape orange and red fruit,1,prac,apple,apple_216277.png
2,9,1,usually in the kitchen above the oven,1,prac,microwave,microwave_91615.png
2,10,1,a object like a shade for hiding from the sun,1,prac,umbrella,umbrella_180487.png
2,11,1,a vichele in the air like a bird,1,prac,airplane,airplane_167540.png
2,12,1,a tool that people can stand on it and then ride,1,prac,skateboard,skateboard_71877.png
2,13,1,a toy in brown-bear shape,1,prac,teddy bear,teddy bear_205542.png
2,14,1,a entertainment tool for people to enjoy the snow speed,1,prac,skis,skis_342397.png
2,15,1,a kind of food like a long stick,1,prac,hot dog,hot dog_400082.png
2,16,1,a toy in brown-bear shape,1,prac,teddy bear,teddy bear_82180.png
2,17,1,a vichele on the lake or the sea,1,prac,boat,boat_442822.png
2,18,1,a fruit with yellow coat ,1,prac,banana,banana_279769.png
2,19,1,a bag usually take in hands,1,prac,handbag,handbag_383842.png
2,20,1,a animal for milk with little ears and big belly,1,prac,cow,cow_361268.png
2,21,1,a case used for travel with wheels ,1,prac,suitcase,suitcase_350019.png
2,22,1,a piece of cloth with mental structure to hide from rain or sun,1,prac,umbrella,umbrella_455157.png
2,23,1,a in-house appliance usually beneath the micro,1,prac,oven,oven_446005.png
2,24,1,a mechanism in the street to prevent fire incidents,1,prac,fire hydrant,fire hydrant_293071.png
2,25,1,a case usually put on shoulders to carry objects,1,prac,backpack,backpack_370478.png
2,26,1,a object which we lie on for sleep,1,prac,bed,bed_491757.png
2,27,1,a vichele running on the railway for carrying passengers or goods,1,prac,train,train_539143.png
2,28,1,a object for storing liquid,1,prac,bottle,bottle_385029.png
