,Unnamed: 0,subject_no,Trial_Index_,block,text,block_sequence,block_name,block_num,path,image,trialID,label,category,number,lastBlockType,tokenized,visual,wordnet_similarity_label,wordnet_similarity_category
0,0,1,1,2,he is walking with legs,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,411,1,human,person,,,"['he', 'be', 'walk', 'with', 'leg']",3.197385621,0.05196433645922137,0.11119505494505494
1,1,1,2,2,slim with legs and hand,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,608,2,human,person,,,"['slim', 'with', 'leg', 'and', 'hand']",3.4223082216000003,0.05131578947368421,0.10555555555555556
2,2,1,3,2,human face,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,480,3,human,person,,,"['human', 'face']",4.836111111,0.5277777777777778,0.1125
3,3,1,4,2,human cloth with hat,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,85,4,human,person,,,"['human', 'cloth', 'with', 'hat']",4.29820261425,0.3798076923076923,0.1259259259259259
4,4,1,5,2,human back with t shirt,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,703,5,human,person,,,"['human', 'back', 'with', 't', 'shirt']",3.9508680555,0.2922356442577031,0.11121933621933622
5,5,1,6,2,human legs and head,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,760,6,human,person,,,"['human', 'leg', 'and', 'head']",3.5838063297500002,0.3685185185185185,0.10833333333333334
6,6,1,7,2,human shape.small human head,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,452,7,human,person,,,"['human', 'shapesmall', 'human', 'head']",4.639376218333333,0.6851851851851851,0.10833333333333334
7,7,1,8,2,"head arms, hands and legs",2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,865,8,human,person,,,"['head', 'arm', 'hand', 'and', 'leg']",3.536236983,0.052046783625730994,0.10902777777777778
8,8,1,9,2,red clothesand arm on the back ,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,845,9,human,person,,,"['red', 'clothesand', 'arm', 'on', 'the', 'back']",3.1022393048,0.052147525676937444,0.11125541125541126
9,9,1,10,2,standing human with arms and legs,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,422,10,human,person,,,"['stand', 'human', 'with', 'arm', 'and', 'leg']",3.5299538209999994,0.290625,0.10277777777777777
10,10,1,11,2,white clothes and black jeans,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,59,11,human,person,,,"['white', 'clothe', 'and', 'black', 'jean']",3.5535913312000007,0.06578388931330108,0.23030303030303031
11,11,1,12,2,human head and wide shoulders,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,232,12,human,person,,,"['human', 'head', 'and', 'wide', 'shoulder']",3.6540419678000005,0.37145969498910675,0.12261904761904763
12,12,1,13,2,human face,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,470,13,human,person,,,"['human', 'face']",4.836111111,0.5277777777777778,0.1125
13,13,1,14,2,human clothes,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,380,14,human,person,,,"['human', 'clothe']",4.236111111,1.0,0.1
14,14,1,15,2,the ratio of the wide of head and shoulders,2.0,exp_car1,1,/Hum_ExpTask_Test1_deploy/results/001ET1,173,15,human,person,,,"['the', 'ratio', 'of', 'the', 'wide', 'of', 'head', 'and', 'shoulder']",2.321689982,0.056644880174291944,0.13095238095238096
